"state","year","race","rate","disease"
"Idaho",2020,"Asian",172.4,"chlamydia"
"Idaho",2020,"Native.Hawaiian.or.Pacific.Islander",729.7,"chlamydia"
"Idaho",2020,"Multiple.races",350.6,"chlamydia"
"Idaho",2020,"Overall",339.5,"chlamydia"
"Illinois",2020,"White",193.2,"chlamydia"
"Illinois",2020,"Black",NA,"chlamydia"
"Illinois",2020,"Hispanic",459.5,"chlamydia"
"Illinois",2020,"AmericanIndian_AlaskaNative",357.2,"chlamydia"
"Illinois",2020,"Asian",95.1,"chlamydia"
"Illinois",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Illinois",2020,"Multiple.races",173.3,"chlamydia"
"Illinois",2020,"Overall",537.5,"chlamydia"
"Indiana",2020,"White",231.7,"chlamydia"
"Indiana",2020,"Black",NA,"chlamydia"
"Indiana",2020,"Hispanic",423.8,"chlamydia"
"Indiana",2020,"AmericanIndian_AlaskaNative",230.6,"chlamydia"
"Indiana",2020,"Asian",102.5,"chlamydia"
"Indiana",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Indiana",2020,"Multiple.races",247.2,"chlamydia"
"Indiana",2020,"Overall",491.8,"chlamydia"
"Iowa",2020,"White",315.5,"chlamydia"
"Iowa",2020,"Black",NA,"chlamydia"
"Iowa",2020,"Hispanic",609.8,"chlamydia"
"Iowa",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Iowa",2020,"Asian",184.2,"chlamydia"
"Iowa",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Iowa",2020,"Multiple.races",334.2,"chlamydia"
"Iowa",2020,"Overall",473.5,"chlamydia"
"Kansas",2020,"White",301.1,"chlamydia"
"Kansas",2020,"Black",NA,"chlamydia"
"Kansas",2020,"Hispanic",557.1,"chlamydia"
"Kansas",2020,"AmericanIndian_AlaskaNative",531.5,"chlamydia"
"Kansas",2020,"Asian",156.6,"chlamydia"
"Kansas",2020,"Native.Hawaiian.or.Pacific.Islander",468.9,"chlamydia"
"Kansas",2020,"Multiple.races",0,"chlamydia"
"Kansas",2020,"Overall",498,"chlamydia"
"Kentucky",2020,"White",127.8,"chlamydia"
"Kentucky",2020,"Black",862.2,"chlamydia"
"Kentucky",2020,"Hispanic",183.1,"chlamydia"
"Kentucky",2020,"AmericanIndian_AlaskaNative",76,"chlamydia"
"Kentucky",2020,"Asian",36.8,"chlamydia"
"Kentucky",2020,"Native.Hawaiian.or.Pacific.Islander",268,"chlamydia"
"Kentucky",2020,"Multiple.races",499.4,"chlamydia"
"Kentucky",2020,"Overall",416.3,"chlamydia"
"Louisiana",2020,"White",301.1,"chlamydia"
"Louisiana",2020,"Black",NA,"chlamydia"
"Louisiana",2020,"Hispanic",485,"chlamydia"
"Louisiana",2020,"AmericanIndian_AlaskaNative",317.1,"chlamydia"
"Louisiana",2020,"Asian",274.5,"chlamydia"
"Louisiana",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Louisiana",2020,"Multiple.races",650.3,"chlamydia"
"Louisiana",2020,"Overall",709.4,"chlamydia"
"Maine",2020,"White",147.8,"chlamydia"
"Maine",2020,"Black",794,"chlamydia"
"Maine",2020,"Hispanic",191,"chlamydia"
"Maine",2020,"AmericanIndian_AlaskaNative",180.4,"chlamydia"
"Maine",2020,"Asian",123.5,"chlamydia"
"Maine",2020,"Native.Hawaiian.or.Pacific.Islander",234.7,"chlamydia"
"Maine",2020,"Multiple.races",68.1,"chlamydia"
"Maine",2020,"Overall",254.4,"chlamydia"
"Maryland",2020,"White",110.5,"chlamydia"
"Maryland",2020,"Black",711.7,"chlamydia"
"Maryland",2020,"Hispanic",299.8,"chlamydia"
"Maryland",2020,"AmericanIndian_AlaskaNative",280.4,"chlamydia"
"Maryland",2020,"Asian",62.3,"chlamydia"
"Maryland",2020,"Native.Hawaiian.or.Pacific.Islander",662.3,"chlamydia"
"Maryland",2020,"Multiple.races",104.3,"chlamydia"
"Maryland",2020,"Overall",524.9,"chlamydia"
"Massachusetts",2020,"White",79.4,"chlamydia"
"Massachusetts",2020,"Black",614.5,"chlamydia"
"Massachusetts",2020,"Hispanic",351.3,"chlamydia"
"Massachusetts",2020,"AmericanIndian_AlaskaNative",132.5,"chlamydia"
"Massachusetts",2020,"Asian",92.1,"chlamydia"
"Massachusetts",2020,"Native.Hawaiian.or.Pacific.Islander",323.5,"chlamydia"
"Massachusetts",2020,"Multiple.races",48.8,"chlamydia"
"Massachusetts",2020,"Overall",354.6,"chlamydia"
"Michigan",2020,"White",166.8,"chlamydia"
"Michigan",2020,"Black",NA,"chlamydia"
"Michigan",2020,"Hispanic",311.1,"chlamydia"
"Michigan",2020,"AmericanIndian_AlaskaNative",280.5,"chlamydia"
"Michigan",2020,"Asian",69.7,"chlamydia"
"Michigan",2020,"Native.Hawaiian.or.Pacific.Islander",835.7,"chlamydia"
"Michigan",2020,"Multiple.races",47.9,"chlamydia"
"Michigan",2020,"Overall",444.7,"chlamydia"
"Minnesota",2020,"White",199,"chlamydia"
"Minnesota",2020,"Black",NA,"chlamydia"
"Minnesota",2020,"Hispanic",577.2,"chlamydia"
"Minnesota",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Minnesota",2020,"Asian",228.1,"chlamydia"
