"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","19.1","19.4","26.7","13.1","11","14","23.3","9.4"
"Alabama","20","19.3","24.1","N/A","N/A","N/A","N/A","N/A"
"Alaska","15.1","12.9","N/A","N/A","N/A","NSD","N/A","N/A"
"Arizona","17.6","18.9","26.9","15","NSD","N/A","N/A","N/A"
"Arkansas","20.2","19.5","27.5","N/A","N/A","N/A","N/A","N/A"
"California","18.4","21.2","27.3","14.3","13.1","NSD","26.5","15.8"
"Colorado","19","20","23.3","14.1","N/A","N/A","N/A","N/A"
"Connecticut","18","18.5","23.5","9.3","N/A","N/A","N/A","N/A"
"Delaware","18.7","18.5","21.5","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","18.5","NSD","23.4","N/A","N/A","N/A","N/A","N/A"
"Florida","17.8","18.6","25.4","12.2","10.5","N/A","N/A","NSD"
"Georgia","20","18.2","27","10.5","10.4","N/A","N/A","N/A"
"Hawaii","15.3","16","N/A","N/A","11.7","N/A","NSD","26.8"
"Idaho","16.9","17.2","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","20.1","20","29.5","10.8","11.3","N/A","N/A","N/A"
"Indiana","20.6","20.7","29","NSD","N/A","N/A","N/A","N/A"
"Iowa","17.4","17.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Kansas","18.2","18","28.7","NSD","N/A","N/A","N/A","N/A"
"Kentucky","22.8","22.8","31.6","N/A","N/A","N/A","N/A","N/A"
"Louisiana","21.8","20.5","26.9","NSD","N/A","N/A","N/A","N/A"
"Maine","17.5","17.7","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","21.5","20.3","28.1","10.9","11.4","N/A","N/A","N/A"
"Massachusetts","16.1","16.6","20.9","9.5","NSD","N/A","N/A","N/A"
"Michigan","20","19","28.3","13.1","13.6","N/A","N/A","N/A"
"Minnesota","17.4","17.4","29.1","NSD","N/A","N/A","N/A","N/A"
"Mississippi","25","20.4","34.8","N/A","N/A","N/A","N/A","N/A"
"Missouri","18.9","18.8","26.1","N/A","N/A","N/A","N/A","N/A"
"Montana","16.8","16.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","21.5","22.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Nevada","20.9","24.1","28.4","11.8","10.6","N/A","N/A","N/A"
"New Hampshire","18.3","18.2","N/A","N/A","N/A","N/A","N/A","N/A"
"New Jersey","19.6","20.9","25.2","13.2","9.8","N/A","N/A","N/A"
"New Mexico","18.6","21.2","N/A","16.2","N/A","NSD","N/A","N/A"
"New York","17.7","18.4","23.7","11.6","9.5","N/A","N/A","N/A"
"North Carolina","19.2","18.2","26.2","8","NSD","NSD","N/A","N/A"
"North Dakota","17.2","16.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Ohio","19.9","19.7","28","NSD","N/A","N/A","N/A","N/A"
"Oklahoma","22.3","22.5","25.1","22.8","N/A","21.2","N/A","NSD"
"Oregon","18.5","18.7","N/A","9.9","NSD","N/A","N/A","N/A"
"Pennsylvania","19.6","19.1","28.4","11.8","10.4","N/A","N/A","N/A"
"Rhode Island","16.3","15.9","N/A","N/A","N/A","N/A","N/A","N/A"
"South Carolina","22","21.5","26.3","N/A","N/A","N/A","N/A","N/A"
"South Dakota","19.1","19.1","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee","21.4","21.2","27.9","N/A","N/A","N/A","N/A","N/A"
"Texas","18.8","19.8","28","14.5","10.7","N/A","N/A","N/A"
"Utah","19.9","20.9","N/A","NSD","N/A","N/A","N/A","N/A"
"Vermont","15.4","16.1","N/A","N/A","N/A","N/A","N/A","N/A"
"Virginia","19.8","19.5","26.3","7.2","10.6","N/A","N/A","N/A"
"Washington","18.9","20.4","16.6","10.6","10.5","NSD","N/A","NSD"
"West Virginia","18.8","19.1","N/A","N/A","N/A","N/A","N/A","N/A"
"Wisconsin","18.1","18.3","19.8","NSD","N/A","N/A","N/A","N/A"
"Wyoming","18.6","19","N/A","N/A","N/A","N/A","N/A","N/A"
